Carat,Cut,Crown Height (mm),Girdle Diameter (mm),Pavillion Depth (mm),Table %,Total Depth %,Clarity,Color,Price
0.31,Ideal,4.36,4.39,2.68,56.0,61.3,VVS1,H,671
0.37,Ideal,4.63,4.65,2.85,56.0,61.4,VS2,G,671
0.32,Ideal,4.42,4.44,2.75,53.0,62.1,VS2,D,671
0.32,Ideal,4.38,4.41,2.69,56.0,61.2,VS2,D,671
0.38,Ideal,4.66,4.72,2.91,54.0,62.0,SI1,H,671
0.41,Ideal,4.75,4.77,2.96,56.0,62.2,SI1,G,671
0.41,Very Good,4.72,4.74,2.97,58.0,62.8,SI1,G,671
0.41,Good,4.7,4.73,2.99,57.0,63.4,SI1,G,671
0.33,Very Good,4.42,4.47,2.8,56.0,63.0,VVS2,G,672
0.32,Very Good,4.39,4.41,2.73,57.0,61.9,VVS2,G,672
0.32,Very Good,4.37,4.39,2.74,54.0,62.6,VVS2,G,672
0.32,Very Good,4.4,4.42,2.71,54.0,61.5,VVS2,G,672
0.32,Very Good,4.39,4.43,2.7,57.0,61.3,VVS2,G,672
0.32,Very Good,4.35,4.37,2.72,56.0,62.3,VVS1,H,672
0.32,Very Good,4.39,4.42,2.69,57.0,61.2,VVS1,H,672
0.32,Very Good,4.4,4.43,2.72,56.0,61.7,VVS1,H,672
0.33,Very Good,4.38,4.43,2.78,57.0,63.1,VS2,E,672
0.38,Very Good,4.66,4.73,2.89,58.0,61.7,SI1,F,672
0.39,Very Good,4.76,4.82,2.83,56.0,59.1,SI2,E,672
0.45,Ideal,4.94,4.97,3.04,55.0,61.4,VS2,J,672
0.27,Ideal,4.17,4.19,2.55,56.0,61.0,IF,G,672
0.32,Ideal,4.4,4.39,2.73,55.0,62.1,VS1,H,672
0.32,Ideal,4.42,4.39,2.76,56.0,62.7,VS1,H,672
0.32,Excellent,4.39,4.37,2.7,59.0,61.6,VS1,H,672
0.32,Excellent,4.53,4.51,2.64,57.0,58.4,VS2,G,672
0.32,Excellent,4.44,4.41,2.66,61.0,60.1,VS2,G,672
0.32,Ideal,4.41,4.37,2.72,57.0,62.0,VS2,G,672
0.32,Ideal,4.39,4.36,2.73,55.0,62.4,VS2,G,672
0.32,Ideal,4.4,4.36,2.72,56.0,62.1,VS2,G,672
0.32,Excellent,4.42,4.39,2.66,61.0,60.4,SI1,E,672
0.32,Very Good,4.41,4.37,2.77,54.0,63.1,SI1,E,672
0.32,Excellent,4.42,4.37,2.69,58.0,61.2,SI1,E,672
0.32,Very Good,4.38,4.34,2.77,56.0,63.5,SI1,E,672
0.32,Very Good,4.37,4.34,2.75,56.0,63.1,SI1,E,672
0.32,Very Good,4.36,4.33,2.75,55.0,63.3,SI1,E,672
0.32,Very Good,4.34,4.31,2.74,56.0,63.4,SI1,E,672
0.35,Excellent,4.59,4.56,2.74,61.0,59.9,SI2,E,672
0.34,Excellent,4.48,4.51,2.75,58.0,61.2,VVS1,H,672
0.4,Good,4.76,4.82,2.91,55.8,60.6,SI2,G,672
0.42,Very Good,4.78,4.83,2.98,59.0,62.0,SI2,D,672
0.42,Ideal,4.83,4.86,2.99,54.0,61.7,VVS2,J,673
0.29,Ideal,4.29,4.33,2.59,56.0,60.2,VVS1,G,673
0.29,Ideal,4.25,4.28,2.62,56.0,61.5,VVS1,G,673
0.29,Ideal,4.22,4.24,2.64,56.0,62.4,VVS1,G,673
0.32,Ideal,4.36,4.39,2.71,55.0,62.1,VS2,G,673
0.3,Ideal,4.3,4.34,2.66,55.0,61.5,VS2,E,673
0.3,Ideal,4.32,4.33,2.68,55.0,61.8,VS2,E,673
0.3,Ideal,4.28,4.3,2.66,55.0,61.9,VS1,F,673
0.3,Ideal,4.29,4.32,2.67,56.0,62.1,VS1,F,673
0.3,Ideal,4.3,4.32,2.68,56.0,62.4,VS1,F,673
0.3,Ideal,4.31,4.33,2.68,53.0,62.0,VS1,E,673
0.3,Ideal,4.3,4.34,2.64,58.0,61.1,VS1,E,673
0.4,Ideal,4.71,4.73,2.92,57.0,61.9,SI2,F,673
0.4,Ideal,4.74,4.78,2.96,54.0,62.2,SI1,E,673
0.29,Ideal,4.28,4.31,2.6,57.0,60.6,IF,G,673
0.29,Ideal,4.25,4.28,2.61,55.0,61.3,IF,G,673
0.29,Ideal,4.23,4.27,2.63,56.0,62.0,IF,G,673
0.3,Ideal,4.36,4.35,2.66,56.0,61.1,VS1,G,673
0.3,Ideal,4.38,4.32,2.67,55.0,61.4,VS1,G,673
0.3,Fair,4.2,4.16,2.69,61.0,64.4,VS1,G,673
0.3,Excellent,4.37,4.32,2.67,55.0,61.4,VS2,F,673
0.3,Excellent,4.41,4.37,2.58,60.0,58.8,VS2,F,673
0.3,Ideal,4.29,4.28,2.7,55.0,63.0,VS2,F,673
0.3,Excellent,4.3,4.27,2.65,60.0,61.8,VS2,F,673
0.4,Very Good,4.63,4.68,2.87,61.0,61.7,SI1,G,673
0.36,Ideal,4.56,4.61,2.8,57.0,61.1,VS2,E,673
0.32,Excellent,4.41,4.45,2.67,58.0,60.3,IF,I,673
0.32,Ideal,4.44,4.47,2.71,54.0,60.8,IF,I,673
0.31,Ideal,4.33,4.35,2.69,57.0,62.0,VS1,D,673
0.32,Ideal,4.35,4.37,2.71,57.0,62.2,IF,I,673
0.32,Very Good,4.37,4.39,2.71,59.0,61.9,IF,I,673
0.34,Very Good,4.41,4.49,2.81,57.0,63.1,VVS2,H,674
0.29,Very Good,4.29,4.32,2.62,57.0,60.9,VVS2,E,674
0.41,Very Good,4.79,4.88,2.9,58.0,60.0,SI1,E,674
0.41,Ideal,4.75,4.79,2.96,53.6,62.0,VS1,J,674
0.41,Ideal,4.75,4.76,2.96,54.5,62.2,VS1,J,674
0.41,Ideal,4.75,4.8,2.95,55.1,61.6,VS1,J,674
0.31,Very Good,4.35,4.37,2.67,55.0,61.2,VS1,F,675
0.31,Very Good,4.32,4.35,2.69,56.0,62.0,VS1,F,675
0.31,Very Good,4.37,4.38,2.66,56.0,60.9,VS1,F,675
0.31,Very Good,4.41,4.43,2.67,55.0,60.6,VS1,F,675
0.38,Ideal,4.66,4.69,2.87,55.0,61.4,VS2,I,675
0.39,Ideal,4.75,4.82,2.92,55.0,61.0,SI1,G,675
0.33,Ideal,4.46,4.48,2.77,54.0,62.0,IF,I,675
0.33,Ideal,4.45,4.49,2.76,55.0,61.7,IF,I,675
0.33,Ideal,4.45,4.49,2.73,56.0,61.1,IF,I,675
0.42,Fair,4.7,4.73,3.05,61.0,64.7,SI1,D,675
0.4,Excellent,4.79,4.76,2.93,58.0,61.4,SI1,J,675
0.3,Very Good,4.25,4.22,2.69,55.0,63.5,VS2,G,675
0.3,Excellent,4.28,4.24,2.66,58.0,62.4,SI1,E,675
0.3,Excellent,4.28,4.24,2.67,60.0,62.7,SI1,E,675
0.3,Excellent,4.3,4.28,2.68,59.0,62.5,SI1,E,675
0.3,Excellent,4.34,4.3,2.62,58.0,60.6,SI1,E,675
0.3,Excellent,4.42,4.39,2.62,58.0,59.5,SI1,E,675
0.3,Good,4.27,4.21,2.7,59.0,63.7,SI1,E,675
0.3,Excellent,4.28,4.23,2.63,60.0,61.8,SI1,E,675
0.3,Excellent,4.33,4.3,2.65,59.0,61.4,VS1,H,675
0.3,Excellent,4.33,4.28,2.66,58.0,61.8,VVS2,I,675
0.3,Excellent,4.37,4.28,2.67,58.0,61.7,VVS2,I,675
0.3,Excellent,4.36,4.3,2.64,60.0,61.0,VVS2,I,675
0.3,Very Good,4.31,4.28,2.58,63.0,60.1,VVS2,I,675
0.3,Excellent,4.32,4.28,2.66,61.0,61.9,VVS2,I,675
0.3,Excellent,4.31,4.28,2.62,58.0,61.0,VS1,H,675
0.3,Ideal,4.31,4.28,2.7,54.0,62.9,VS1,H,675
0.3,Excellent,4.32,4.29,2.64,58.0,61.3,VS1,H,675
0.3,Ideal,4.34,4.29,2.69,55.0,62.3,VS1,H,675
0.3,Excellent,4.32,4.3,2.59,61.0,60.1,VS1,H,675
0.3,Ideal,4.33,4.3,2.66,57.0,61.6,VS1,H,675
0.3,Excellent,4.34,4.3,2.61,61.0,60.4,VS1,H,675
0.3,Ideal,4.33,4.31,2.65,56.0,61.3,VS1,H,675
0.3,Ideal,4.35,4.32,2.69,54.0,62.1,VS1,H,675
0.3,Ideal,4.37,4.33,2.67,54.0,61.4,VS1,H,675
0.3,Very Good,4.3,4.26,2.71,56.0,63.3,VS1,H,675
0.3,Ideal,4.3,4.27,2.64,55.0,61.6,VS1,H,675
0.3,Excellent,4.31,4.27,2.59,61.0,60.4,VS1,H,675
0.3,Excellent,4.34,4.27,2.69,58.0,62.5,VS1,H,675
0.3,Ideal,4.3,4.28,2.67,57.0,62.2,VS1,H,675
0.3,Excellent,4.3,4.26,2.68,59.0,62.6,VS1,H,675
0.3,Very Good,4.3,4.25,2.71,53.0,63.4,VS1,H,675
0.3,Excellent,4.28,4.26,2.66,58.0,62.3,VS1,H,675
0.3,Good,4.28,4.26,2.73,55.0,63.9,VS1,H,675
0.3,Ideal,4.29,4.26,2.69,57.0,62.9,VS1,H,675
0.3,Excellent,4.28,4.24,2.64,58.0,62.0,VS1,H,675
0.3,Very Good,4.29,4.25,2.7,56.0,63.2,VS1,H,675
0.3,Ideal,4.3,4.25,2.68,55.0,62.7,VS1,H,675
0.3,Excellent,4.28,4.23,2.68,58.0,63.0,VS1,H,675
0.3,Excellent,4.29,4.23,2.65,60.0,62.2,VS1,H,675
0.3,Very Good,4.26,4.24,2.68,57.0,63.1,VS1,H,675
0.3,Ideal,4.27,4.24,2.66,56.0,62.5,VS1,H,675
0.3,Excellent,4.27,4.21,2.67,59.0,63.0,VS1,H,675
0.3,Very Good,4.25,4.22,2.68,57.0,63.3,VS1,H,675
0.3,Ideal,4.27,4.22,2.67,56.0,62.9,VS1,H,675
0.3,Excellent,4.34,4.3,2.62,60.0,60.6,VS2,G,675
0.3,Excellent,4.34,4.31,2.63,61.0,60.8,VS2,G,675
0.3,Ideal,4.35,4.31,2.67,56.0,61.7,VS2,G,675
0.3,Ideal,4.36,4.31,2.66,54.0,61.4,VS2,G,675
0.3,Excellent,4.33,4.3,2.67,58.0,61.9,VS2,G,675
0.3,Good,4.28,4.27,2.73,55.0,63.9,VS2,G,675
0.3,Ideal,4.3,4.27,2.67,56.0,62.3,VS2,G,675
0.3,Ideal,4.3,4.27,2.68,53.0,62.5,VS2,G,675
0.3,Ideal,4.3,4.27,2.7,56.0,63.0,VS2,G,675
0.3,Ideal,4.3,4.28,2.63,56.0,61.3,VS2,G,675
0.3,Ideal,4.33,4.28,2.64,56.0,61.3,VS2,G,675
0.3,Excellent,4.33,4.28,2.65,60.0,61.6,VS2,G,675
0.3,Ideal,4.31,4.29,2.71,55.0,63.0,VS2,G,675
0.3,Excellent,4.32,4.29,2.61,61.0,60.6,VS2,G,675
0.3,Excellent,4.25,4.24,2.64,60.0,62.2,VS2,G,675
0.3,Very Good,4.28,4.24,2.69,57.0,63.1,VS2,G,675
0.3,Very Good,4.28,4.25,2.69,56.0,63.1,VS2,G,675
0.3,Very Good,4.28,4.25,2.71,54.0,63.5,VS2,G,675
0.3,Ideal,4.32,4.26,2.67,57.0,62.2,VS2,G,675
0.3,Very Good,4.32,4.27,2.71,53.0,63.1,SI1,E,675
0.3,Excellent,4.33,4.27,2.66,58.0,61.9,SI1,E,675
0.3,Ideal,4.33,4.29,2.67,57.0,61.9,SI1,E,675
0.3,Excellent,4.35,4.31,2.59,60.0,59.8,SI1,E,675
0.3,Excellent,4.37,4.35,2.64,56.0,60.6,SI1,E,675
0.3,Very Good,4.3,4.27,2.71,56.0,63.2,SI1,E,675
0.3,Excellent,4.31,4.27,2.63,60.0,61.3,SI1,E,675
0.3,Ideal,4.32,4.27,2.7,57.0,62.9,SI1,E,675
0.3,Excellent,4.29,4.27,2.64,56.0,61.7,SI1,E,675
0.3,Excellent,4.29,4.27,2.66,60.0,62.1,SI1,E,675
0.3,Ideal,4.3,4.25,2.69,57.0,62.9,SI1,E,675
0.3,Ideal,4.3,4.25,2.69,56.0,62.9,SI1,E,675
0.3,Very Good,4.3,4.25,2.7,57.0,63.2,SI1,E,675
0.3,Ideal,4.31,4.24,2.69,56.0,62.9,SI1,E,675
0.3,Good,4.28,4.25,2.72,55.0,63.8,SI1,E,675
0.3,Excellent,4.27,4.24,2.66,60.0,62.5,SI1,E,675
0.3,Good,4.27,4.24,2.71,58.0,63.7,SI1,E,675
0.3,Excellent,4.28,4.24,2.61,60.0,61.3,SI1,E,675
0.3,Good,4.24,4.22,2.69,57.0,63.6,SI1,E,675
0.3,Very Good,4.25,4.23,2.69,56.0,63.4,SI1,E,675
0.24,Excellent,4.0,4.02,2.44,59.0,60.8,VVS1,H,432
0.24,Very Good,3.92,3.95,2.45,59.0,62.3,VVS1,G,432
0.31,Very Good,4.37,4.4,2.71,55.0,61.7,SI2,G,433
0.33,Ideal,4.46,4.48,2.73,57.0,61.1,SI2,H,433
0.33,Ideal,4.48,4.49,2.75,55.0,61.3,SI2,H,433
0.33,Ideal,4.47,4.49,2.75,55.0,61.4,SI2,H,433
0.23,Very Good,3.94,3.97,2.43,56.0,61.6,VVS1,H,434
0.28,Very Good,4.16,4.21,2.63,60.0,62.8,VS1,E,434
0.26,Ideal,4.08,4.1,2.54,55.0,62.1,VS2,H,434
0.26,Ideal,4.09,4.13,2.52,56.0,61.3,VS2,H,434
0.26,Ideal,4.11,4.13,2.56,55.0,62.1,VS1,I,434
0.32,Ideal,4.41,4.45,2.7,56.0,60.9,SI2,H,434
0.32,Ideal,4.41,4.43,2.72,55.0,61.5,SI1,H,434
0.23,Excellent,4.05,4.0,2.39,61.0,59.4,VS1,H,434
0.33,Very Good,4.37,4.39,2.76,57.0,63.0,SI1,I,434
0.33,Excellent,4.4,4.42,2.76,58.0,62.6,SI2,G,434
0.33,Very Good,4.38,4.41,2.76,58.0,62.8,VS1,J,434
0.33,Very Good,4.41,4.46,2.79,55.0,62.9,SI2,G,434
0.33,Very Good,4.5,4.52,2.68,59.0,59.4,SI2,G,434
0.33,Good,4.4,4.43,2.81,53.0,63.6,SI1,I,434
0.33,Ideal,4.41,4.45,2.74,56.0,61.9,SI2,G,434
0.33,Excellent,4.4,4.43,2.75,58.0,62.3,SI2,F,434
0.33,Very Good,4.39,4.46,2.72,61.0,61.5,VS1,J,434
0.33,Excellent,4.5,4.54,2.73,59.0,60.4,SI1,I,434
0.33,Ideal,4.41,4.44,2.75,55.0,62.1,VS1,J,434
0.33,Very Good,4.4,4.42,2.78,58.0,63.0,SI2,F,434
0.29,Ideal,4.23,4.26,2.62,56.0,61.8,VS1,J,435
0.31,Ideal,4.35,4.4,2.7,56.0,61.7,SI2,E,435
0.31,Very Good,4.39,4.43,2.68,61.0,60.8,SI2,E,435
0.31,Very Good,4.32,4.35,2.7,57.0,62.3,VS2,I,435
0.3,Ideal,4.32,4.29,2.65,57.0,61.6,SI1,E,675
0.3,Excellent,4.32,4.29,2.68,58.0,62.3,SI1,E,675
0.3,Excellent,4.38,4.36,2.62,60.0,60.0,SI1,E,675
0.33,Very Good,4.45,4.49,2.71,58.0,60.6,VS2,E,675
0.32,Very Good,4.41,4.44,2.69,57.0,60.9,VVS1,G,676
0.35,Very Good,4.51,4.57,2.79,60.0,61.5,VS1,G,676
0.35,Ideal,4.49,4.52,2.79,57.0,61.9,VVS2,G,676
0.31,Ideal,4.37,4.43,2.65,58.0,60.2,VVS1,G,676
0.32,Ideal,4.43,4.46,2.72,55.0,61.3,VS1,F,676
0.41,Good,4.91,4.96,2.88,58.0,58.4,SI1,F,676
0.39,Ideal,4.72,4.65,2.91,56.0,62.0,SI1,E,676
0.36,Very Good,4.58,4.62,2.78,58.0,60.4,VS2,E,677
0.31,Ideal,4.37,4.4,2.74,53.0,62.5,VVS2,G,677
0.31,Ideal,4.38,4.41,2.69,54.0,61.2,VVS2,G,677
0.31,Ideal,4.37,4.39,2.72,54.0,62.1,VVS2,G,677
0.4,Ideal,4.75,4.78,2.96,54.0,62.1,SI2,F,677
0.29,Ideal,4.32,4.36,2.62,54.0,60.4,SI1,E,677
0.39,Ideal,4.75,4.79,2.89,57.0,60.6,SI1,E,677
0.32,Excellent,4.36,4.39,2.68,58.0,61.3,VS1,E,677
0.24,Ideal,4.05,4.08,2.48,56.0,61.0,VVS2,F,678
0.24,Ideal,3.99,4.02,2.47,55.0,61.7,VVS2,F,678
0.24,Ideal,3.99,4.02,2.48,57.0,62.0,VVS2,F,678
0.24,Ideal,3.96,3.99,2.46,56.0,62.1,VVS2,F,678
0.24,Ideal,4.0,4.04,2.47,57.0,61.4,VVS2,E,678
0.24,Ideal,4.01,4.04,2.48,56.0,61.6,VVS2,E,678
0.24,Ideal,3.99,4.01,2.48,56.0,62.0,VVS1,F,678
0.24,Ideal,4.03,4.06,2.46,55.0,60.8,VVS1,F,678
0.24,Ideal,4.0,4.03,2.48,55.0,61.8,VVS1,F,678
0.24,Ideal,4.02,4.07,2.44,57.0,60.2,VVS1,E,678
0.24,Ideal,3.99,4.03,2.46,57.0,61.4,VVS1,E,678
0.24,Ideal,3.96,3.98,2.5,55.0,62.9,IF,F,678
0.24,Ideal,3.97,4.0,2.45,57.0,61.6,IF,F,678
0.24,Ideal,4.04,4.07,2.47,57.0,61.0,IF,F,678
0.24,Ideal,3.99,4.04,2.43,57.0,60.7,IF,F,678
0.3,Good,4.23,4.27,2.72,57.0,64.0,VVS1,G,678
0.3,Good,4.25,4.28,2.67,58.0,62.6,VVS2,G,678
0.36,Ideal,4.55,4.57,2.84,57.0,62.3,VS1,G,678
0.4,Good,4.64,4.67,2.96,59.0,63.6,SI1,F,678
0.36,Very Good,4.57,4.61,2.78,60.0,60.6,VS1,G,678
0.26,Very Good,4.11,4.18,2.52,58.0,60.8,VVS1,F,679
0.39,Very Good,4.74,4.77,2.86,57.0,60.1,VS2,I,679
0.31,Very Good,4.37,4.39,2.67,57.5,61.0,VS1,F,679
0.31,Very Good,4.42,4.46,2.65,55.0,59.7,VS1,F,679
0.41,Very Good,4.73,4.78,2.96,60.0,62.3,SI1,F,679
0.43,Ideal,4.84,4.86,3.01,55.0,62.1,VS1,J,679
0.32,Ideal,4.37,4.38,2.73,56.0,62.4,VS1,G,679
0.4,Ideal,4.75,4.77,2.94,55.2,61.8,SI2,E,679
0.26,Good,4.06,4.03,2.59,57.0,64.0,VVS1,F,679
0.43,Excellent,4.85,4.91,2.94,60.0,60.2,SI2,F,679
0.43,Very Good,4.88,4.91,2.96,59.0,60.5,SI2,F,679
0.3,Very Good,4.31,4.32,2.67,55.0,61.9,VVS1,G,680
0.3,Very Good,4.33,4.37,2.66,57.0,61.1,VVS1,G,680
0.38,Very Good,4.65,4.68,2.88,56.0,61.7,VS2,I,680
0.41,Very Good,4.72,4.75,3.01,57.0,63.6,SI1,F,680
0.41,Very Good,4.71,4.64,2.96,60.0,63.3,SI1,I,680
0.42,Ideal,4.79,4.86,2.96,57.0,61.3,VS2,J,680
0.38,Ideal,4.63,4.68,2.88,56.0,61.9,VS2,H,680
0.38,Ideal,4.67,4.69,2.88,56.0,61.5,SI1,H,680
0.38,Ideal,4.69,4.73,2.86,56.0,60.7,SI1,E,680
0.38,Good,4.73,4.77,2.8,58.0,58.9,SI1,E,680
0.23,Very Good,3.92,3.88,2.47,56.0,63.3,VVS2,E,680
0.23,Excellent,3.94,3.92,2.43,58.0,61.8,VVS2,E,680
0.23,Excellent,3.99,3.96,2.42,60.0,60.9,VVS2,E,680
0.23,Excellent,4.04,4.02,2.36,61.0,58.6,VVS1,E,680
0.23,Excellent,4.01,3.95,2.44,60.0,61.3,VVS1,E,680
0.23,Excellent,4.01,3.95,2.43,60.0,61.1,VVS1,E,680
0.23,Excellent,4.0,3.95,2.4,59.0,60.4,VVS2,D,680
0.45,Good,4.82,4.75,3.07,62.0,64.1,SI2,E,680
0.31,Very Good,4.29,4.33,2.71,56.0,62.9,VS2,E,680
0.31,Excellent,4.32,4.35,2.67,59.0,61.6,VS2,E,680
0.31,Ideal,4.35,4.39,2.7,55.0,61.8,VS2,E,680
0.31,Very Good,4.3,4.37,2.68,59.0,61.8,VS2,E,680
0.31,Excellent,4.31,4.33,2.71,58.0,62.7,VS2,E,680
0.31,Excellent,4.29,4.33,2.7,58.0,62.6,VS2,E,680
0.31,Ideal,4.36,4.41,2.71,54.0,61.8,VS2,E,680
0.31,Ideal,4.36,4.39,2.71,55.0,61.9,VS2,E,680
0.31,Very Good,4.33,4.37,2.73,57.0,62.8,VS2,E,680
0.31,Ideal,4.35,4.38,2.69,57.0,61.6,VS2,E,680
0.31,Ideal,4.31,4.35,2.67,56.0,61.7,VS2,E,680
0.31,Ideal,4.37,4.4,2.7,56.0,61.6,VS2,E,680
0.31,Ideal,4.38,4.41,2.66,56.0,60.5,VS2,E,680
0.31,Excellent,4.37,4.39,2.67,58.0,61.0,VS2,E,680
0.31,Ideal,4.37,4.41,2.7,55.0,61.5,VS2,E,680
0.31,Ideal,4.36,4.39,2.7,55.0,61.7,VS2,E,680
0.31,Ideal,4.34,4.37,2.7,56.0,62.0,VS2,E,680
0.31,Ideal,4.34,4.36,2.69,56.0,61.8,VS2,E,680
0.31,Ideal,4.32,4.35,2.69,56.0,62.1,VS1,F,680
0.31,Ideal,4.32,4.38,2.68,56.0,61.6,VS2,E,680
0.31,Excellent,4.32,4.39,2.67,60.0,61.3,VS2,E,680
0.31,Excellent,4.34,4.36,2.63,60.0,60.5,VS2,E,680
0.31,Ideal,4.39,4.4,2.67,54.0,60.8,VS2,E,680
0.31,Excellent,4.35,4.39,2.62,59.0,60.0,VS2,E,680
0.31,Ideal,4.33,4.35,2.68,55.0,61.8,VS2,E,680
0.31,Ideal,4.37,4.41,2.68,54.0,61.0,VS2,E,680
0.31,Ideal,4.33,4.36,2.68,55.0,61.7,VS2,E,680
0.31,Ideal,4.34,4.37,2.67,56.0,61.3,VS2,E,680
0.31,Ideal,4.33,4.4,2.68,54.0,61.4,VS2,E,680
0.31,Ideal,4.34,4.37,2.69,54.0,61.8,VS2,E,680
0.31,Ideal,4.38,4.41,2.68,56.0,61.0,VS2,E,680
0.31,Ideal,4.34,4.37,2.68,56.0,61.5,VS2,E,680
0.31,Excellent,4.37,4.42,2.65,58.0,60.3,VS2,E,680
0.31,Very Good,4.3,4.35,2.72,57.0,62.9,VS2,E,680
0.31,Very Good,4.3,4.33,2.7,56.0,62.6,VS2,E,680
0.31,Ideal,4.38,4.41,2.7,54.0,61.4,VS2,E,680
0.31,Ideal,4.34,4.38,2.66,56.0,61.0,VS2,E,680
0.31,Very Good,4.32,4.35,2.67,59.0,61.6,VS2,E,680
0.31,Very Good,4.33,4.39,2.66,59.0,61.0,VS2,E,680
0.31,Ideal,4.37,4.4,2.71,55.0,61.8,VS2,E,680
0.31,Ideal,4.33,4.35,2.69,55.0,62.0,VS2,E,680
0.31,Very Good,4.31,4.34,2.67,58.0,61.7,VS2,E,680
0.31,Ideal,4.34,4.36,2.65,57.0,60.9,VS2,E,680
0.31,Ideal,4.31,4.35,2.7,54.0,62.4,VS2,E,680
0.31,Ideal,4.39,4.42,2.67,56.0,60.6,VS1,F,680
0.31,Excellent,4.35,4.39,2.7,60.0,61.8,VS1,F,680
0.31,Excellent,4.35,4.37,2.65,58.0,60.8,VS2,E,680
0.31,Ideal,4.34,4.37,2.7,55.0,62.0,VS2,E,680
0.31,Ideal,4.34,4.38,2.7,55.0,61.9,VS2,E,680
0.31,Excellent,4.36,4.39,2.65,59.0,60.6,VS2,E,680
0.31,Excellent,4.35,4.37,2.66,59.0,61.0,VS2,E,680
0.31,Ideal,4.32,4.35,2.7,57.0,62.3,VS2,E,680
0.31,Ideal,4.34,4.39,2.7,55.0,61.9,VS2,E,680
0.33,Very Good,4.39,4.41,2.75,59.0,62.5,VS2,D,681
0.33,Very Good,4.47,4.49,2.75,57.0,61.3,VS1,G,681
0.33,Very Good,4.5,4.51,2.74,57.0,60.8,VS1,G,681
0.43,Very Good,4.8,4.84,2.97,59.0,61.6,SI2,F,681
0.32,Ideal,4.4,4.43,2.72,54.9,61.6,VVS1,H,681
0.33,Ideal,4.43,4.47,2.75,54.0,61.8,VS2,D,681
0.34,Ideal,4.47,4.5,2.78,55.0,62.0,VS1,G,681
0.39,Good,4.56,4.64,2.96,55.0,64.3,VS2,F,681
0.4,Good,4.7,4.73,2.84,63.0,60.2,SI1,H,681
0.33,Ideal,4.53,4.51,2.68,58.0,59.3,VS2,E,681
0.37,Excellent,4.62,4.66,2.86,59.0,61.6,VVS1,I,681
0.37,Very Good,4.61,4.64,2.88,56.0,62.3,SI1,D,681
0.37,Ideal,4.6,4.63,2.84,57.0,61.5,SI1,D,681
0.37,Good,4.55,4.59,2.9,56.0,63.5,VS2,E,681
0.37,Very Good,4.58,4.62,2.86,58.0,62.2,SI1,D,681
0.37,Excellent,4.62,4.65,2.87,59.0,61.9,SI1,D,681
0.37,Excellent,4.62,4.68,2.81,59.0,60.4,SI1,D,681
0.37,Good,4.55,4.59,2.91,55.0,63.7,SI1,D,681
0.37,Very Good,4.61,4.64,2.82,62.0,61.0,SI1,D,681
0.37,Excellent,4.55,4.58,2.85,58.0,62.4,VVS1,I,681
0.3,Very Good,4.39,4.32,2.6,58.0,59.7,VS1,D,681
0.37,Excellent,4.55,4.58,2.86,58.0,62.7,SI1,D,681
0.27,Very Good,4.14,4.18,2.54,57.0,61.3,VVS2,F,682
0.27,Very Good,4.15,4.17,2.57,57.0,61.8,VVS2,F,682
0.27,Very Good,4.19,4.2,2.6,56.0,61.8,VVS2,F,682
0.27,Very Good,4.14,4.17,2.54,57.0,61.2,VVS2,F,682
0.27,Very Good,4.15,4.17,2.57,56.0,61.8,VVS1,F,682
0.3,Very Good,4.27,4.31,2.68,56.0,62.5,VVS1,F,682
0.27,Very Good,4.17,4.19,2.58,56.0,61.8,VVS1,F,682
0.27,Very Good,4.15,4.18,2.55,57.0,61.3,VVS1,E,682
0.27,Very Good,4.16,4.19,2.6,56.0,62.3,VVS1,E,682
0.23,Very Good,3.99,4.13,2.43,55.0,59.9,VVS1,E,682
0.4,Very Good,4.71,4.75,2.93,55.0,61.9,SI1,G,682
0.37,Ideal,4.67,4.7,2.83,56.0,60.3,VS2,G,682
0.33,Ideal,4.44,4.47,2.78,54.0,62.4,VS2,E,682
0.31,Ideal,4.37,4.39,2.65,60.0,60.5,VS1,E,682
0.42,Ideal,4.83,4.79,2.96,56.0,61.5,SI2,G,682
0.32,Ideal,4.4,4.44,2.72,55.0,61.5,SI1,E,682
0.3,Good,4.29,4.32,2.63,61.0,61.1,VVS1,F,682
0.38,Excellent,4.65,4.58,2.88,56.0,62.4,VS2,I,682
0.4,Good,4.66,4.69,3.0,56.0,64.2,SI1,E,682
0.32,Very Good,4.38,4.39,2.77,52.0,63.2,VVS2,F,683
0.41,Ideal,4.79,4.83,2.96,55.0,61.5,VS2,I,683
0.39,Ideal,4.69,4.73,2.92,55.0,62.0,SI2,G,683
0.41,Ideal,4.77,4.81,2.93,56.0,61.2,SI1,H,683
0.31,Excellent,4.38,4.41,2.62,58.0,59.6,VS1,D,683
0.31,Ideal,4.35,4.36,2.7,54.0,62.0,VS1,D,683
0.31,Ideal,4.34,4.36,2.69,55.0,61.8,VS1,D,683
0.31,Ideal,4.32,4.35,2.69,57.0,62.1,VS1,D,683
0.31,Ideal,4.39,4.43,2.67,55.0,60.5,VS1,D,683
0.41,Very Good,4.72,4.77,2.97,59.0,62.6,SI1,H,683
0.41,Good,4.69,4.74,3.01,56.0,63.8,SI1,H,683
0.41,Excellent,4.74,4.77,2.96,58.0,62.3,SI2,D,683
0.41,Excellent,4.71,4.75,2.92,60.0,61.7,SI1,H,683
